,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
25,26,2009-12-21,CHI,SAC,1,9,19,.474,0,0,,6,7,.857,1,2,3,7,0,1,3,0,24,17.8,-2,Yes,L ,-4,41,16
26,27,2009-12-22,CHI,NYK,1,11,21,.524,1,1,1.000,3,3,1.000,1,5,6,4,0,0,2,0,26,18.7,-5,Yes,L ,-7,34,38
27,28,2009-12-26,CHI,NOH,1,7,20,.350,0,0,,0,0,,4,2,6,9,2,0,3,1,14,11.1,+21,Yes,W ,11,39,44
28,29,2009-12-29,CHI,IND,1,11,20,.550,0,1,.000,6,8,.750,2,3,5,6,0,1,6,1,28,18.4,+1,Yes,W ,9,41,13
29,30,2009-12-31,CHI,DET,1,7,18,.389,0,1,.000,8,8,1.000,0,4,4,4,1,2,2,1,22,16.2,+12,Yes,W ,11,40,5
30,31,2010-01-02,CHI,ORL,1,11,23,.478,0,0,,8,10,.800,1,5,6,7,0,0,2,1,30,22.2,+9,Yes,W ,8,38,8
31,32,2010-01-04,CHI,OKC,1,9,20,.450,0,0,,1,1,1.000,1,2,3,7,2,0,2,1,19,14.4,-10,Yes,L ,-13,36,42
32,33,2010-01-05,CHI,CHA,1,11,19,.579,0,1,.000,2,3,.667,1,2,3,9,0,1,7,3,24,14.8,-4,Yes,L ,-5,37,52
33,34,2010-01-08,CHI,MIL,1,10,25,.400,0,0,,5,7,.714,1,4,5,9,0,0,2,2,25,16.1,-9,Yes,L ,-3,37,34
34,35,2010-01-09,CHI,MIN,1,3,7,.429,0,0,,2,4,.500,0,4,4,7,2,0,1,2,8,9.8,+7,Yes,W ,14,31,20
35,36,2010-01-11,CHI,DET,1,11,13,.846,0,0,,0,0,,0,2,2,9,1,0,2,2,22,22.4,+29,Yes,W ,33,25,19
36,37,2010-01-14,CHI,BOS,1,8,16,.500,0,0,,1,2,.500,1,7,8,4,0,0,3,3,17,10.0,+12,Yes,W ,13,29,57
37,38,2010-01-15,CHI,WAS,1,16,33,.485,0,0,,5,7,.714,1,8,9,6,0,0,3,1,37,23.4,+5,Yes,W ,2,50,15
38,39,2010-01-18,CHI,GSW,1,7,19,.368,0,0,,5,8,.625,0,2,2,4,1,0,4,2,19,6.9,-20,Yes,L ,-17,34,49
39,40,2010-01-20,CHI,LAC,1,10,24,.417,0,0,,3,4,.750,3,5,8,7,1,2,4,0,23,16.7,-1,Yes,L ,-7,43,17
40,42,2010-01-22,CHI,PHO,1,15,21,.714,1,1,1.000,1,3,.333,0,3,3,5,3,0,1,0,32,28.9,+7,Yes,W ,11,43,44
41,43,2010-01-23,CHI,HOU,1,7,14,.500,0,1,.000,6,8,.750,0,3,3,4,0,1,4,4,20,11.0,+11,Yes,W ,7,35,19
42,44,2010-01-25,CHI,SAS,1,13,23,.565,1,1,1.000,0,0,,0,3,3,6,0,0,0,0,27,21.2,+6,Yes,W ,5,34,32
43,45,2010-01-27,CHI,OKC,1,13,23,.565,0,1,.000,0,0,,1,2,3,7,0,0,2,2,26,18.5,+8,Yes,W ,10,36,57
44,46,2010-01-29,CHI,NOH,1,7,19,.368,0,0,,4,5,.800,0,4,4,5,3,0,4,1,18,10.4,+7,Yes,W ,2,44,36
45,47,2010-02-02,CHI,LAC,1,7,20,.350,0,1,.000,2,2,1.000,1,3,4,4,0,0,4,0,16,5.2,-16,Yes,L ,-8,36,11
46,48,2010-02-03,CHI,PHI,1,10,22,.455,1,1,1.000,9,10,.900,2,2,4,9,0,0,4,1,30,22.1,+2,Yes,L ,-3,42,52
47,49,2010-02-05,CHI,ATL,1,9,21,.429,0,2,.000,1,2,.500,1,2,3,6,0,0,2,0,19,11.0,-9,Yes,L ,-10,40,42
48,50,2010-02-06,CHI,MIA,1,9,19,.474,0,0,,6,8,.750,0,5,5,2,0,0,3,0,24,13.4,-2,Yes,W ,4,43,0
49,51,2010-02-09,CHI,IND,1,9,18,.500,0,1,.000,3,3,1.000,1,2,3,7,2,0,5,2,21,14.4,+6,Yes,W ,8,38,13
50,52,2010-02-10,CHI,ORL,1,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.7,-3,Yes,L ,-20,2,24
51,53,2010-02-16,CHI,NYK,1,14,18,.778,0,0,,1,1,1.000,0,3,3,6,1,0,2,0,29,26.1,+23,Yes,W ,33,27,2
52,54,2010-02-17,CHI,NYK,1,10,19,.526,0,0,,7,9,.778,0,4,4,6,1,0,1,1,27,21.9,-2,Yes,W ,6,39,34
53,55,2010-02-19,CHI,MIN,1,8,17,.471,0,1,.000,3,4,.750,1,7,8,5,1,0,3,2,19,13.4,+8,Yes,W ,6,38,38
54,56,2010-02-20,CHI,PHI,1,7,16,.438,1,1,1.000,2,4,.500,2,2,4,6,1,0,1,0,17,14.0,+24,Yes,W ,32,33,49
55,57,2010-02-22,CHI,WAS,1,8,16,.500,0,1,.000,6,7,.857,2,3,5,6,1,0,4,3,22,15.9,-6,Yes,L ,-6,39,5
56,58,2010-02-24,CHI,IND,1,10,19,.526,0,0,,3,4,.750,0,9,9,8,1,1,4,2,23,18.5,+17,Yes,W ,10,39,8
57,59,2010-02-26,CHI,POR,1,15,25,.600,0,0,,3,4,.750,1,1,2,4,1,0,5,1,33,20.5,-2,Yes,W ,4,46,37
58,60,2010-02-27,CHI,IND,1,9,14,.643,0,0,,9,12,.750,0,2,2,4,1,0,2,1,27,21.6,-4,Yes,L ,-10,37,35
59,61,2010-03-01,CHI,ATL,1,11,24,.458,0,0,,2,2,1.000,0,0,0,3,0,0,2,0,24,11.7,-10,Yes,L ,-24,31,27
60,63,2010-03-04,CHI,MEM,1,9,21,.429,0,0,,2,2,1.000,1,2,3,3,2,1,3,1,20,11.6,-8,Yes,L ,-9,38,28
61,64,2010-03-06,CHI,DAL,1,15,22,.682,0,2,.000,4,4,1.000,0,0,0,8,0,0,2,2,34,27.4,+2,Yes,L ,-6,42,10
62,65,2010-03-09,CHI,UTA,1,10,19,.526,0,0,,5,6,.833,2,2,4,13,0,0,5,0,25,21.4,-22,Yes,L ,-24,38,56
63,66,2010-03-11,CHI,ORL,1,1,4,.250,0,0,,1,2,.500,0,0,0,2,0,0,0,1,3,1.2,-11,Yes,L ,-29,12,0
64,67,2010-03-12,CHI,MIA,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,L ,-13,0,0
65,68,2010-03-16,CHI,MEM,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,L ,-7,0,0
66,69,2010-03-17,CHI,DAL,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,L ,-7,0,0
67,70,2010-03-19,CHI,CLE,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,L ,-7,0,0
68,71,2010-03-20,CHI,PHI,1,9,16,.563,4,6,.667,1,1,1.000,0,4,4,5,1,1,1,3,23,19.6,+18,Yes,W ,14,37,23
69,72,2010-03-22,CHI,HOU,1,12,22,.545,2,7,.286,1,4,.250,2,5,7,8,0,1,4,3,27,19.2,+9,Yes,W ,10,46,35
70,73,2010-03-25,CHI,MIA,1,5,16,.313,0,2,.000,2,4,.500,1,4,5,5,0,0,1,0,12,6.4,-33,Yes,L ,-29,32,42
71,74,2010-03-27,CHI,NJN,1,3,12,.250,0,0,,1,2,.500,0,5,5,9,1,1,0,0,7,8.9,+19,Yes,W ,23,35,29
72,75,2010-03-28,CHI,DET,1,7,13,.538,0,1,.000,7,8,.875,0,3,3,9,1,1,1,1,21,21.8,0,Yes,W ,7,35,56
73,76,2010-03-30,CHI,PHO,1,7,16,.438,1,4,.250,8,9,.889,1,4,5,10,1,0,1,0,23,23.1,-3,Yes,L ,-6,42,30
74,77,2010-04-02,CHI,WAS,1,10,19,.526,0,1,.000,4,4,1.000,2,2,4,5,0,0,3,0,24,17.2,0,Yes,W ,8,40,49
75,78,2010-04-03,CHI,CHA,1,10,19,.526,0,1,.000,6,6,1.000,0,4,4,5,0,1,3,0,26,19.1,+6,Yes,W ,8,40,42
76,79,2010-04-06,CHI,MIL,1,5,12,.417,0,0,,2,2,1.000,0,5,5,11,1,0,6,3,12,8.6,0,Yes,L ,-5,38,7
77,80,2010-04-08,CHI,CLE,1,10,17,.588,1,3,.333,3,7,.429,0,3,3,10,1,0,4,3,24,18.2,+6,Yes,W ,1,38,16
78,81,2010-04-09,CHI,NJN,1,9,19,.474,0,1,.000,7,12,.583,0,6,6,6,0,0,7,6,25,9.9,-4,Yes,L ,-11,47,44
